fy,full_sample,sel_index,typen,enter_repay_borrowers,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_typen1,lst_typen2,lst_typen3,lst_typen4,tot_parplus_balance,f5_tot_parplus_balance,mn_parplus_loan,md_parplus_loan,pct75_par,pct90_par,alt_cdr2,alt_cdr3,alt_cdr5,fract,age_entry,cpi_adj
2011,,5,,110,,,,,,,,,3427,0,31052,19137,38688,74180,0.017,0.025,,,43,0.965479
2012,,5,,115,,,,,,,,,4155,0,35988,22945,46874,82650,0.009,,,,43,0.980216
2013,,5,,107,,,,,,,,,4893,0,45859,29216,60633,108168,,,,,43,0.992323
2014,,5,,122,,,,,,,,,6169,0,50534,32339,68523,117072,,,,,41,1
1984,,,1,5,,,,,,,,,11,5,2379,2551,2620,2656,0.022,0.028,0.028,0.544,,0.509814
1985,,,1,6,,,,,,,,,14,6,2329,2552,2625,2656,0.033,0.045,0.074,0.59,,0.528431
1986,,,1,9,,,,,,,,,23,10,2462,2554,2632,2707,0.056,0.083,0.102,0.578,,0.536539
1987,,,1,13,,,,,,,,,34,16,2644,2566,3427,3514,0.052,0.081,0.12,0.562,,0.556903
1988,,,1,22,,,,,,,,,60,29,2690,2797,3437,3520,0.074,0.114,0.166,0.551,,0.580705
1989,,,1,30,,,,,,,,,82,43,2722,2774,3427,3526,0.134,0.2,0.274,0.509,,0.60299
1990,,,1,28,,,,,,,,,83,45,2909,3075,3473,3810,0.142,0.193,0.287,0.491,,0.631967
1991,,,1,26,,,,,,,,,79,40,3083,3231,3469,4913,0.124,0.188,0.262,0.521,,0.648323
1992,,,1,23,,,,,,,,,71,33,3127,3305,3483,5242,0.116,0.162,0.23,0.57,,0.665147
1993,,,1,20,,,,,,,,,84,39,4187,3803,4808,7147,0.102,0.15,0.205,0.567,,0.679709
1994,,,1,14,,,,,,,,,66,31,4683,3975,6102,7997,0.074,0.11,0.136,0.587,,0.694281
1995,,,1,17,,,,,,,,,90,41,5199,4401,6635,9282,0.081,0.105,0.121,0.611,,0.707602
1996,,,1,18,,,,,,,,,96,41,5426,4719,7146,9878,0.081,0.105,0.12,0.635,,0.724261
1997,,,1,18,,,,,,,,,106,43,5721,4804,7572,10520,0.054,0.074,0.093,0.65,,0.732323
1998,,,1,20,,,,,,,,,118,56,6037,5059,7802,10730,0.061,0.085,0.121,0.584,,0.738253
1999,,,1,22,,,,,,,,,149,76,6858,5305,8451,12733,0.045,0.076,0.106,0.584,43,0.753413
2000,,,1,25,,,,,,,,,173,79,7001,5682,8809,13065,0.052,0.078,0.1,0.619,43,0.77168
2001,,,1,27,,,,,,,,,197,93,7329,5871,9842,14044,0.055,0.08,0.118,0.604,42,0.779909
2002,,,1,28,,,,,,,,,225,119,7943,6429,10107,14346,0.046,0.08,0.117,0.541,43,0.796383
2003,,,1,34,,,,,,,,,280,154,8258,6391,10744,16123,0.052,0.091,0.125,0.527,44,0.811654
2004,,,1,41,,,,,,,,,368,208,8993,6591,10909,17350,0.042,0.068,0.111,0.488,44,0.834702
2005,,,1,46,,,,,,,,,467,293,10212,7967,14084,20369,0.044,0.079,0.13,0.484,45,0.858669
2006,,,1,45,,,,,,,,,508,337,11383,8597,15425,22255,0.063,0.1,0.141,0.439,44,0.876992
2007,,,1,41,,,,,,,,,529,369,12773,9485,17148,25191,0.066,0.104,0.155,0.396,43,0.906824
2008,,,1,40,,,,,,,,,464,328,11682,8805,15240,23499,0.079,0.133,0.201,0.38,42,0.910217
2009,,,1,39,,,,,,,,,420,317,10912,7621,13909,22087,0.102,0.154,0.209,0.338,45,0.929017
2010,,,1,46,,,,,,,,,486,0,10630,7257,13182,22576,0.131,0.195,,,44,0.941916
